State Code,Indian Census State Code 2011,State Name,District Code,Indian Census District Code 2011,District Name,ICRISAT Indian Id,SAT/NONSAT District,Region Code,Region Name,Agro Ecological Zones ICRISAT,Agro Ecological Zones NATP,AEZ Production Zones NATP,Latitude,Longitude
1,280,Andhra Pradesh,44,542,Srikakulam,3219,2,1,Coastal Andhra region,1,2,2.1,18.6,84.3
1,280,Andhra Pradesh,45,544,Visakhapatnam,3220,2,1,Coastal Andhra region,1,2,2.1,17.7,83.3
1,280,Andhra Pradesh,46,545,East Godavari,3205,2,1,Coastal Andhra region,1,2,2.1,17,82.2
1,280,Andhra Pradesh,47,546,West Godavari,3223,2,1,Coastal Andhra region,1,2,2.1,16.8,81.5
1,280,Andhra Pradesh,48,547,Krishna,3210,1,1,Coastal Andhra region,3,2,2.1,16.2,81.1
1,280,Andhra Pradesh,49,548,Guntur,3206,1,1,Coastal Andhra region,3,2,2.1,16.6,79.6
1,280,Andhra Pradesh,50,550,S.P.S. Nellore,3215,1,1,Coastal Andhra region,3,2,2.1,14.5,80
1,280,Andhra Pradesh,51,552,Kurnool,3211,1,2,Rayalaseema region,3,5,5.3,15.8,78.1
1,280,Andhra Pradesh,52,553,Ananthapur,3202,2,2,Rayalaseema region,4,5,5.3,14.6,77
1,280,Andhra Pradesh,53,551,Kadapa YSR,3204,1,2,Rayalaseema region,3,5,5.3,14.5,78.8
1,280,Andhra Pradesh,54,554,Chittoor,3203,1,2,Rayalaseema region,3,5,5.3,13.5,78.5
2,100,Bihar,901,241,Champaran,3424,2,2,Tirhut division,1,4,4.1,26.5,84.6
2,100,Bihar,902,216,Muzaffarpur,3420,2,2,Tirhut division,2,4,4.1,26.1,85.4
2,100,Bihar,903,215,Darbhanga,3405,2,4,Darbhanga division,1,4,4.1,26,85.9
2,100,Bihar,904,214,Saharsa,3430,2,5,Kosi division,1,4,4.1,26.2,86.8
2,100,Bihar,905,211,Purnea,3427,2,6,Purnea division,1,4,4.1,25.8,87.5
2,100,Bihar,906,219,Saran,3434,2,3,Saran division,2,4,4.1,26,84.8
2,100,Bihar,907,230,Patna,3425,1,1,Patna division,3,4,4.1,25.6,85
2,100,Bihar,908,226,Mungair,3419,1,8,Mungair division,3,4,4.1,24.9,86.2
2,100,Bihar,909,224,Bhagalpur,3403,2,7,Bhagalpur division,1,4,4.1,25.3,87
2,100,Bihar,911,242,Shahabad (now part of Bhojpur district),3429,1,1,Patna division,3,4,4.1,25.5,84.5
2,100,Bihar,912,236,Gaya,3408,1,9,Magadh division,3,4,4.1,24.8,85
3,240,Gujarat,121,474,Ahmedabad,3501,1,1,Baroda division,3,5,5.4,23.1,72.6
3,240,Gujarat,122,480,Amreli,3502,1,2,Rajkot division,3,5,5.3,21.5,71.1
3,240,Gujarat,123,469,Banaskantha,3503,1,1,Baroda division,3,1,1.2,24.3,71.9
3,240,Gujarat,124,488,Bharuch,3504,1,1,Baroda division,3,5,5.4,21.7,73
3,240,Gujarat,125,486,Vadodara Baroda,3518,1,1,Baroda division,3,5,5.4,22.3,73.3
3,240,Gujarat,126,481,Bhavnagar,3506,1,2,Rajkot division,3,5,5.3,21.8,72.2
3,240,Gujarat,127,491,Valsad,3519,1,1,Baroda division,3,5,5.4,20.6,73.2
3,240,Gujarat,128,489,Dangs,3517,1,1,Baroda division,3,5,5.4,20.8,73.6
3,240,Gujarat,129,477,Jamnagar,3507,1,2,Rajkot division,3,1,1.2,22.5,70.1
3,240,Gujarat,130,479,Junagadh,3508,1,2,Rajkot division,3,5,5.3,20.9,70.4
