SNo,City,Province/State,Latitude,Longitude
1,Agartala,Tripura,23°50?N,91°16?E
2,Agra,Uttar Pradesh,27°11?N,78°01?E
3,Ahmedabad,Gujarat,23°02?N,72°35?E
4,Amritsar,Punjab,31°38?N,74°52?E
5,Bangalore,Karnataka,12°58?N,77°34?E
6,Chandigarh,N/A,30°45?N,76°47?E
7,Chennai (Madras),Tamil Nadu,13°05?N,80°16?E
8,Dibrugarh,Assam,27°29?N,95°00?E
9,Gangtok,Sikkim,27°20?N,88°37?E
10,Guwahati,Assam,26°11?N,91°44?E
11,Hyderabad,Andhra Pradesh,17°22?N,78°29?E
12,Jaipur,Rajasthan,26°56?N,75°49?E
13,Kandla,,23°03?N,70°11?E
14,Kanpur,Uttar Pradesh,26°28?N,80°20?E
15,Kochi,Kerala,9°58?N,76°17?E
16,Kolkata (Calcutta),West Bengal,22°34?N,88°22?E
17,Kulpahar,Uttar Pradesh,25°19?N,79°38?E
18,Lucknow,Uttar Pradesh,26°51?N,80°57?E
19,Ludhiana,Punjab,30°55?N,75°51?E
20,Mumbai (Bombay),Maharashtra,18°59?N,72°50?E
21,Nagpur,Maharashtra,21°08?N,79°05?E
22,New Delhi,Delhi,28°37?N,77°13?E
23,Patna,Bihar,25°37?N,85°09?E
24,Port Blair,Andaman and Nicobar Islands,11°40?N,92°46?E
25,Pune,Maharashtra,18°31?N,73°51?E
26,Shillong,Meghalaya,25°34?N,91°53?E
27,Shimla,Himachal Pradesh,31°06?N,77°10?E
28,Siliguri,West Bengal,26°43?N,88°26?E
29,Srinagar,Jammu and Kashmir,34°05?N,74°47?E
30,Surat,Gujarat,21°10?N,72°50?E
31,Tezpur,Assam,26°38?N,92°48?E
32,Trivandrum,Kerala,8°29?N,76°57?E
33,Visakhapatnam,Andhra Pradesh,17°41?N,83°13?E
,,,,
"For more information, kindly visit :  www.downloadexcelfiles.com ",,,,
