,STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,lat,longs
0,ANDAMAN And NICOBAR ISLANDS,NICOBAR,107.3,57.9,65.2,117.0,358.5,295.5,285.0,271.9,354.8,326.0,315.2,250.9,2805.2,165.2,540.7,1207.2,892.1,13.347490,77.102173
1,ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,43.7,26.0,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,3015.7,69.7,483.5,1757.2,705.3,13.347490,77.102173
2,ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,32.7,15.9,8.6,53.4,343.6,503.3,465.4,460.9,454.8,276.1,198.6,100.0,2913.3,48.6,405.6,1884.4,574.7,13.347490,77.102173
3,ARUNACHAL PRADESH,LOHIT,42.2,80.8,176.4,358.5,306.4,447.0,660.1,427.8,313.6,167.1,34.1,29.8,3043.8,123.0,841.3,1848.5,231.0,13.347490,77.102173
4,ARUNACHAL PRADESH,EAST SIANG,33.3,79.5,105.9,216.5,323.0,738.3,990.9,711.2,568.0,206.9,29.5,31.7,4034.7,112.8,645.4,3008.4,268.1,13.347490,77.102173
5,ARUNACHAL PRADESH,SUBANSIRI F.D,28.0,48.3,85.3,101.5,140.5,228.4,217.4,182.8,159.8,75.9,20.9,11.6,1300.4,76.3,327.3,788.4,108.4,13.347490,77.102173
6,ARUNACHAL PRADESH,TIRAP,42.2,72.7,141.0,316.9,328.7,614.7,851.9,500.6,418.3,218.7,42.9,22.9,3571.5,114.9,786.6,2385.5,284.5,13.347490,77.102173
7,ARUNACHAL PRADESH,ANJAW (LOHIT),42.2,80.8,176.4,358.5,306.4,447.0,660.1,427.8,313.6,167.1,34.1,29.8,3043.8,123.0,841.3,1848.5,231.0,13.347490,77.102173
8,ARUNACHAL PRADESH,LOWER DIBANG,83.7,153.9,303.5,383.6,268.0,374.2,272.0,160.5,266.7,167.2,64.0,56.0,2553.3,237.6,955.1,1073.4,287.2,13.347490,77.102173
9,ARUNACHAL PRADESH,CHANGLANG,70.3,170.9,367.9,554.4,334.2,526.2,460.8,291.5,353.6,275.0,64.9,74.2,3543.9,241.2,1256.5,1632.1,414.1,13.347490,77.102173
10,ARUNACHAL PRADESH,PAPUM PARE,33.5,67.8,106.1,226.9,453.0,640.5,609.5,503.4,492.3,214.7,19.2,11.3,3378.2,101.3,786.0,2245.7,245.2,13.347490,77.102173
11,ARUNACHAL PRADESH,LOW SUBANSIRI,97.5,109.3,92.4,204.3,266.2,284.1,248.9,270.5,192.7,78.5,49.5,27.2,1921.1,206.8,562.9,996.2,155.2,13.347490,77.102173
